Institution name,Murder/Non-negligent manslaughter,Negligent manslaughter,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson,Illegal weapons possession,Drug law violations,Liquor law violations
University of California-San Diego - Subtotal,0,0,0,0,0,0,0,61,3299,13182
California State University-Long Beach - Subtotal,0,0,0,0,0,0,0,32,610,1553
California State University-Northridge - Subtotal,0,0,0,0,0,0,0,33,2065,2191
University of California-Los Angeles - Subtotal,0,0,0,0,0,0,0,30,1034,4314
University of California-San Diego - Subtotal,0,0,17,38,188,142,28,0,0,0
California State University-Long Beach - Subtotal,0,0,5,14,72,84,1,0,0,0
California State University-Northridge - Subtotal,0,0,22,20,137,101,7,0,0,0
University of California-Los Angeles - Subtotal,1,0,44,106,583,86,16,0,0,0
University of California-San Diego,0,0,17,38,188,142,28,61,3299,13182
California State University-Long Beach,0,0,5,14,72,84,1,32,610,1553
California State University-Northridge,0,0,22,20,137,101,7,33,2065,2191
University of California-Los Angeles,1,0,44,106,583,86,16,30,1034,4314
